author,comment
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-pr9zr2ni4p
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">오늘도 이노래 들으러 왔어요..아직 인생이 힘드네요 ㅎㅎ</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-cc8sg5fr2i
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">코로나 없던 시절,,, 그립다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @Rimac-yb7hd
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">이노래 찾다가 레전드 공연이라고 치니깐 나왔다.</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @gosarimuchimmarlin332
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">코로나 종식선언 날에 반에서 함 크게 틀어봐야징</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-ii7ot3wk5g
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">후에 언제라도 런던올림픽이 다시금 열린다면, 그 때에 폐막곡은 이 곡이 되지 않을까</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-zs1ox5st8z
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=HosW0gulISQ&amp;t=197s"" spellcheck=""false"">3:17</a><span class=""style-scope yt-formatted-string"" dir=""auto""> 이때 표정이 너무 뭉클하다.. 진짜 행복해보여서..</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-jb5yl7ib4s
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">거리두기 풀린기념 성지순례왔습니다!!올해부터 콘서트가도되나요!?!?제발 ㅜㅜ</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @dyd7240
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">이 노래 들으면 못할게 없다는 근거 없는 자신감이 생김 ㅋㅋㅋㅋㅋㅋㅋ</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @TV-uz6pt
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">한국에 오시면 열창하러 간다 꼭</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @messifatherbigtwodog
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">가사가 기가막힌다 저절로 그 상황이 상상이되네</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @secretary6271
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">코로나 종식 되면 이벤트로 공연하면 크</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-sg2jn7iu7y
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">다음날 단두대에서 죽더라도 하루만 저 무대에 서서 저런 목소리실력으로 노래해보고싶다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-ft3fp5ow7n
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">유튜브 뮤직이 있어 정말 다행이다 ㅜ.ㅜ</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @stormifor5282
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">숙제하며 듣는 중인데 가슴이 벅차올라서 숙제를 못 하겠음..... 지금 숙제 할 때가 아니구 밖에 나가서 뭐라도 해야 할 것 같아..</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-ct9ek7hf3u
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">그 댓글 보러왔는데 묻힌건지 삭제한 건지 다른 영상인지 모르겠네</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">라떼는 말이야를 간지나게 표현한 곡이라는 글..</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-ix3ou9tc6x
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=HosW0gulISQ&amp;t=110s"" spellcheck=""false"">1:50</a><span class=""style-scope yt-formatted-string"" dir=""auto""> 왕관 내려놓는 모습 왜 눈물나지 .. 너무 이유없는 눈물이야,,,</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-iz1fe1hv1o
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">떼창의 좋은 예</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-rx2uz3ld2b
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">퀸이없는시대를달래줄콜드플레이임 ㄹㅇ</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @Swampy5078
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=HosW0gulISQ&amp;t=193s"" spellcheck=""false"">3:13</a><span class=""style-scope yt-formatted-string"" dir=""auto""> 힐링 포인트</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-tl1ff5pf7v
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">가사가 죽인다^^*@@@@¤¤¤☆!</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-hr1fp1tp8o
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">역시 viva la vida야</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @kim6978
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">이보다 영화같은 노래가 있을까? 노래가 영화한편같다.</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @comeinf
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">말로 설명할 순 없지만 저 높은곳에 앉으면 진실함은 존재하지 않네</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @bono3074
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=HosW0gulISQ&amp;t=7s"" spellcheck=""false"">0:07</a><span class=""style-scope yt-formatted-string"" dir=""auto"">초 비트에 맞춰서 점프 뛰는거 실화냐 개부럽다ㅜㅜ</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-zr8xz4xr2q
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">중국우한폐렴 종식되면 전세계라이브로 이노래 틀어줬으면 좋겠다 그날만 빈다..</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-bp2zt3hv6d
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">이노래만 들으면 뭔가 가장 높은 곳에서 하늘을 날고 있는 기분임. 그 있잖아 뭔가 다 할 수 있을꺼 같은.. </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">그래서 이노래 들으면서 옥상 올라가서 난간 위로 올라갔다가 나도 모르게 뛰어 내릴뻔 했다</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-wp3dc2es3r
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">코로나 종식 선언 하고 인간승리</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">하고 마스크 찍고 이 노래 틀고 </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">신나하는 날이 왔으면 좋겠다 ㅠㅡㅠ </span><img alt=""😢"" class=""small-emoji emoji style-scope yt-formatted-string"" src=""https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f622.png""/></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @chaconomy
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">신나면서도 장엄하고 묘하면서도 무서운 곡일세~~~~~</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">저 높은 곳에 앉으면 진실은 존재하지 않는다네.....</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">성베드로가 내이름을 부르지 않겠지~~♬</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-qk7xf5gl4w
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">콜드플레이 역시 영국사람이라네....</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @shay9237
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">드럼이 극한직업인 밴드중 하나</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">힘내세요 챔피언...</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @hhhsllaa7123
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">내가 어른 돼면 저런 노래 만들 수 있겠죠? 솔직히 나만 이런게 꿈인가 이렇게 사람들이 열광 할 수 있는 노래 만드는게....</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-rj6lp7qk6m
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">최고의 엔딩곡</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @O.OV12
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">내 버킷리스트 중 하나... 콜드플레이 콘서트 가기</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-ed8gj7ty1q
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">무대를 함으로써 살아있음을 느끼는 사람들인데 코로나 땜에 못해서 우리보다 더 우울할듯..싶다아...</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-dk6nc9dn3h
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">난...이 노래가 왜케 슬플까...</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-sz1qt5ok6x
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">어떤 사람은 한 순간의 추억을 가지고 평생을 산다는 말이 있는데  내가 저 공연에 있다면  충분히 가능할 것 같다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @gosarimuchimmarlin332
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">코로나 종식선언 날에 이거 틀어줬으면</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-ek2hf4bg3l
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">해리 케인 폼 미쳤다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @CH-nm5ye
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">ㄱ멋지다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @monochromegraffiti63
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">하루에 한번보고 마음 다잡기</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-lp2wb3ry5w
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">전세계 스탠다드가 있어야한다.</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">저런자리에서 지키는 질서 등등</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @semin531531
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=HosW0gulISQ&amp;t=193s"" spellcheck=""false"">3:13</a><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">인류 노래 역사상 가장 위대한 파트</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @TK-wi3bh
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">한참 전에 본 영상인데.....코로나 확진되고나서 방구석에서 보니까 더 새롭네요...ㅠㅠ</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-pr3ng8dp1p
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">시험 하루남았다.....</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">힘내자 모두 긴장될꺼야... 나만 두려운게 아닐꺼야</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @Dinosaur_Lover07
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">이 노래 무려 13년된 노래입니다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-uz5nt8il2w
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">전주만 들어도 온 몸에 닭살이 다 돋는 노래는 이거 따라갈 곡 없음.</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-dq4nl5pp5w
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">술마시며 듣기 좋다 너무 행복하다 이순간</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-gl3fs2wx3v
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=HosW0gulISQ&amp;t=110s"" spellcheck=""false"">1:50</a><span class=""style-scope yt-formatted-string"" dir=""auto""> 왕관 내려두는 제스처는 지린다</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-wy2om5py7t
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">죽고싶을때마다 듣는노래 아무리 들어도 좋다 </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">기분이 한결 좋아졌어요</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-jg2wq2cd7r
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">너는 해낼 수 있어 너는 뭐든지 할 수 있어..</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-vf2pg5mr8g
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><img alt=""😍"" class=""small-emoji emoji style-scope yt-formatted-string"" src=""https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f60d.png""/></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-oo4xh9jp8l
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">영국 3대밴드</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">1.비틀즈</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">2.퀸</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">3.콜드플레이</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-lu5dg1cn2z
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">You r the best singer ive ever had?! ㅋㅋ</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @SabuKim
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">개인적으로 보헤미안 랩소디처럼 콜드플레이도 영화로 보고 싶다...</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">다들 영화관에서 오오오오오~ 하는거 생각하니까 기대가 된다.</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-gx3jw5kh6s
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">황석희 번역가님 번역은 진짜…언어능력이 어느정도까지 경지에 달하면 저렇게 번역을 하나요…나는 생기부 하나 쓸 때도 어버버 거리던 애였는데..</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @Kal-tsit
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">Baba Yetu가 인류의 엔딩곡이라면 이 곡은 인류의 오프닝 곡이 될 것이다.</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @gyeommu161
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">콜드플레이 사랑해요</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @oops-fell-downed
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">성베드로가 내이름을 부르진 않겠지</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">= 난 천국엔 못갈거야</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">베드로는 예수님한테 천국의열쇠를 받았고 그앞을 지키고있다고 여겨진다는군요</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-db4vn3pk1k
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">long live the king!</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-io1ox1io7f
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">한국대중가요 99%가 사랑,이별노랜데 그런것만 듣다가 팝송들으면 가사 좋은곡들 많구나싶음</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-no6qr1xp3y
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">여기서 우리가 느껴야 할 부분은 노래 부르는 사람도 아니고 관중도 아니고 기타 악기치는 사람이 아닌 제일 박자도 안놓치시고 개빡쌔게 </span><a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=HosW0gulISQ&amp;t=113s"" spellcheck=""false"">1:53</a><span class=""style-scope yt-formatted-string"" dir=""auto""> 북 두드리는 형님임..</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-fd2kz3or3h
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">회사 출근할떄랑 퇴근할떄 들으면 가장 기분좋은 음악 포브스 선정 1위곡 시발 구라인데 그냥 들어봐 애들아. 존나 좋음</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @luk3876
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=HosW0gulISQ&amp;t=89s"" spellcheck=""false"">1:29</a><span class=""style-scope yt-formatted-string"" dir=""auto"">  미친건가 연출,,</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @tgan7882
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">유니버스 보고 온분~다시 들으니 아소오름 돋는다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-ho5wt8ed9h
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">세계의흔들림이노래의강함</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @imself_made
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">아직 1년도 안됬는데 마스크 안쓴게 부자연스럽고 순간적으로 거부감이듬 진짜로 지금이 사태가 얼마나 우리 일상에 뿌리밖았는지 깨닳게 되더라 </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">그래서 진짜 제발 이번 1주일간 싸돌아다니지말고 진짜 우리나라 빨리 위기에서 벗어나도록 다같이 노력했으면 합니다</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">ㅠㅠ</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-cn5uh1lv1c
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">너무신나는 노래</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-ns3bm2hm8s
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">역사공부하다가 들으면 ㅈㄴ 할맛난다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-yn8zt1yt5j
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">이  노래만 알고  있다는  거.....ㅠㅠ가수는  솔까  몰랐지....</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @STP12345
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">진짜...가수는.......좋겠다...ㅎ</yt-formatted-string>"
